,R,I,A,S,E,C
Vandana,2.285714286,2.571428571,2.428571429,1.857142857,2.714285714,1.428571429
Sanjana Reddy Pamuru,2.285714286,1.428571429,1.857142857,2.428571429,1.857142857,2.714285714
Priyanshu Kumar,3,3,3,3,3,3
Sanskar Singhal,2.714285714,3,2.142857143,2.428571429,2.142857143,1.857142857
Ambarish Chatterjee,2.142857143,3,1.285714286,2.142857143,2.142857143,3
Navya Dhiman,2,2.857142857,2.285714286,2.571428571,2.571428571,2.285714286
Hardhik,2.714285714,3,2.428571429,2.571428571,2.714285714,2.428571429
Ahana Sadh,1.714285714,2.714285714,2.285714286,1.857142857,1.285714286,2.285714286
Navya Ennam,3,3,2.857142857,2.857142857,2.857142857,3
Brinda,2.714285714,2.714285714,2.142857143,2.571428571,1.857142857,2.428571429
Aakash Guduru,2.571428571,2.428571429,2.285714286,2.857142857,2.142857143,2
Debajyoti Banerjee,2.714285714,2.714285714,2.285714286,2.571428571,2,2.142857143
Sabyasachi,2,3,1.428571429,1.714285714,1.714285714,2.428571429
Rudresh Joshi,2.428571429,3,2,2.857142857,2.142857143,2
Durga ,3,2.714285714,3,3,2.285714286,2.714285714
Oishika Sarkar,2.285714286,2.857142857,2.428571429,2.857142857,2.428571429,3
